source_file,line_number,raw_line,cleaned_name,metadata
2009_10_names.txt,63,Christ ina Budwet h Mingay (Part -Time Member),Christ ina Budwet h Mingay,Part -Time Member
2009_10_names.txt,65,Gerald Naud,Gerald Naud,
2009_10_names.txt,67,Lynn Neil (Part -Time Member),Lynn Neil,Part -Time Member
2009_10_names.txt,71,Lloyd Phillipps,Lloyd Phillipps,
2009_10_names.txt,73,Jean-Paul Pilon,Jean-Paul Pilon,
2009_10_names.txt,75,Jana Rozehnal,Jana Rozehnal,
2009_10_names.txt,77,Egya Ndayinanse Sangmuah,Egya Ndayinanse Sangmuah,
2009_10_names.txt,81,Michael Soo (Part -Time Member),Michael Soo,Part -Time Member
2009_10_names.txt,85,Lisa M. St evens,Lisa M. St evens,
2009_10_names.txt,87,Gerald Douglas Taylor,Gerald Douglas Taylor,
2009_10_names.txt,89,Jeanie Theoharis,Jeanie Theoharis,
2009_10_names.txt,91,Christ opher Trueman,Christ opher Trueman,
2009_10_names.txt,93,Marian Elizabet h Usprich,Marian Elizabet h Usprich,
2009_10_names.txt,97,Brad J. Wallace,Brad J. Wallace,
2009_10_names.txt,99,Karen Wallace,Karen Wallace,
2009_10_names.txt,101,Sylvia Nancy Wat son,Sylvia Nancy Wat son,
2009_10_names.txt,103,Mike Welsh,Mike Welsh,
2009_10_names.txt,105,Karol Wronecki (Part -Time Member),Karol Wronecki,Part -Time Member
1998_99_names.txt,2,Chisanga Puta-Chekwe,Chisanga Puta-Chekwe,
1998_99_names.txt,4,DAVID BRAUND,DAVID BRAUND,
1998_99_names.txt,6,GILLES GUÉNETTE,GILLES GUÉNETTE,
1998_99_names.txt,8,CONNIE HOLMES,CONNIE HOLMES,
1998_99_names.txt,10,MARY LEE,MARY LEE,
1998_99_names.txt,12,BEVERLY MOORE,BEVERLY MOORE,
1998_99_names.txt,14,CHRIS BRANEY,CHRIS BRANEY,
1998_99_names.txt,16,STANLEY CHAPMAN,STANLEY CHAPMAN,
1998_99_names.txt,18,ANDREAS VON CRAMON,ANDREAS VON CRAMON,
1998_99_names.txt,20,JANET DAVIES,JANET DAVIES,
1998_99_names.txt,22,NANCY FAHLGREN,NANCY FAHLGREN,
1998_99_names.txt,24,LOLA FABOWALÉ,LOLA FABOWALÉ,
1998_99_names.txt,26,STEVEN J. FAUGHNAN,STEVEN J. FAUGHNAN,
1998_99_names.txt,28,RICHARD A. FELDMAN,RICHARD A. FELDMAN,
1998_99_names.txt,30,JOHN GOODCHILD,JOHN GOODCHILD,
1998_99_names.txt,32,CHARLES GASCOYNE,CHARLES GASCOYNE,
1998_99_names.txt,33,(Part-Time Member),,Part-Time Member
1998_99_names.txt,35,MURRAY WM. GRAHAM,MURRAY WM. GRAHAM,
1998_99_names.txt,37,DAVID J. GREGORY,DAVID J. GREGORY,
1998_99_names.txt,39,SHAWN HAYMAN,SHAWN HAYMAN,
1998_99_names.txt,41,DAVID HORROX,DAVID HORROX,
1998_99_names.txt,43,RICHARD ITTLEMAN,RICHARD ITTLEMAN,
1998_99_names.txt,45,LINDA JOSS,LINDA JOSS,
1998_99_names.txt,47,LAURIE KOCH,LAURIE KOCH,
1998_99_names.txt,49,ROMUALD KWOLEK,ROMUALD KWOLEK,
1998_99_names.txt,51,EDWARD LEE,EDWARD LEE,
1998_99_names.txt,53,IAN MACINNIS,IAN MACINNIS,
1998_99_names.txt,55,DONALD MACVICAR,DONALD MACVICAR,
1998_99_names.txt,57,J. STEVEN MCCUTCHEON,J. STEVEN MCCUTCHEON,
1998_99_names.txt,59,TOM MCDERMOTT,TOM MCDERMOTT,
1998_99_names.txt,61,SCOTT N.F. MCNEIL,SCOTT N.F. MCNEIL,
1998_99_names.txt,63,DONNA MCGAVIN,DONNA MCGAVIN,
